/Users/xiaochoumao/Documents/github repo/摩尔庄园 5.5.0/fresh-port/01-cracked/Payload/MoleWorld.app/MoleWorld:
Indirect symbols for (__TEXT,__picsymbolstub4) 850 entries
address    index name
0x00885880    92 __ZNSt6vectorI8fbuser_tSaIS0_EE13_M_insert_auxEN9__gnu_cxx17__normal_iteratorIPS0_S2_EERKS0_
0x00885890    93 __ZNSt6vectorI8fbuser_tSaIS0_EE15_M_erase_at_endEPS0_
0x008858a0    94 __ZNSt6vectorI8fbuser_tSaIS0_EE9push_backERKS0_
0x008858b0    95 __ZNSt6vectorI8fbuser_tSaIS0_EED2Ev
0x008858c0   762 _UTTypeCopyPreferredTagWithClass
0x008858d0   763 _UTTypeCreatePreferredIdentifierForTag
0x008858e0   284 _CGAffineTransformConcat
0x008858f0   286 _CGAffineTransformInvert
0x00885900   287 _CGAffineTransformMakeRotation
0x00885910   288 _CGAffineTransformMakeScale
0x00885920   289 _CGAffineTransformRotate
0x00885930   290 _CGAffineTransformScale
0x00885940   291 _CGAffineTransformTranslate
0x00885950   292 _CGBitmapContextCreate
0x00885960   293 _CGBitmapContextCreateImage
0x00885970   294 _CGColorCreate
0x00885980   295 _CGColorGetAlpha
0x00885990   296 _CGColorGetColorSpace
0x008859a0   297 _CGColorGetComponents
0x008859b0   298 _CGColorGetNumberOfComponents
0x008859c0   299 _CGColorRelease
0x008859d0   300 _CGColorRetain
0x008859e0   301 _CGColorSpaceCreateDeviceGray
0x008859f0   302 _CGColorSpaceCreateDeviceRGB
0x00885a00   303 _CGColorSpaceGetModel
0x00885a10   304 _CGColorSpaceRelease
0x00885a20   305 _CGContextAddArc
0x00885a30   306 _CGContextAddArcToPoint
0x00885a40   307 _CGContextAddLineToPoint
0x00885a50   308 _CGContextAddPath
0x00885a60   309 _CGContextAddRect
0x00885a70   310 _CGContextBeginPath
0x00885a80   311 _CGContextClearRect
0x00885a90   312 _CGContextClip
0x00885aa0   313 _CGContextClipToMask
0x00885ab0   314 _CGContextClipToRect
0x00885ac0   315 _CGContextClosePath
0x00885ad0   316 _CGContextDrawImage
0x00885ae0   317 _CGContextDrawLinearGradient
0x00885af0   318 _CGContextDrawPath
0x00885b00   319 _CGContextDrawRadialGradient
0x00885b10   320 _CGContextEOClip
0x00885b20   321 _CGContextEOFillPath
0x00885b30   322 _CGContextFillEllipseInRect
0x00885b40   323 _CGContextFillPath
0x00885b50   324 _CGContextFillRect
0x00885b60   325 _CGContextMoveToPoint
0x00885b70   326 _CGContextRelease
0x00885b80   327 _CGContextRestoreGState
0x00885b90   328 _CGContextRotateCTM
0x00885ba0   329 _CGContextSaveGState
0x00885bb0   330 _CGContextScaleCTM
0x00885bc0   331 _CGContextSetFillColor
0x00885bd0   332 _CGContextSetFillColorWithColor
0x00885be0   333 _CGContextSetFont
0x00885bf0   334 _CGContextSetFontSize
0x00885c00   335 _CGContextSetGrayFillColor
0x00885c10   336 _CGContextSetLineWidth
0x00885c20   337 _CGContextSetRGBFillColor
0x00885c30   338 _CGContextSetRGBStrokeColor
0x00885c40   339 _CGContextSetShadowWithColor
0x00885c50   340 _CGContextSetStrokeColor
0x00885c60   341 _CGContextSetStrokeColorSpace
0x00885c70   342 _CGContextSetStrokeColorWithColor
0x00885c80   343 _CGContextSetTextDrawingMode
0x00885c90   344 _CGContextSetTextMatrix
0x00885ca0   345 _CGContextShowGlyphsAtPoint
0x00885cb0   346 _CGContextStrokeEllipseInRect
0x00885cc0   347 _CGContextStrokeLineSegments
0x00885cd0   348 _CGContextStrokePath
0x00885ce0   349 _CGContextStrokeRect
0x00885cf0   350 _CGContextTranslateCTM
0x00885d00   351 _CGDataProviderCreateWithData
0x00885d10   352 _CGDataProviderCreateWithURL
0x00885d20   353 _CGDataProviderRelease
0x00885d30   354 _CGFontCopyTableForTag
0x00885d40   355 _CGFontCreateWithDataProvider
0x00885d50   356 _CGFontCreateWithFontName
0x00885d60   357 _CGFontGetAscent
0x00885d70   358 _CGFontGetCapHeight
0x00885d80   359 _CGFontGetDescent
0x00885d90   360 _CGFontGetGlyphAdvances
0x00885da0   361 _CGFontGetUnitsPerEm
0x00885db0   362 _CGFontGetXHeight
0x00885dc0   363 _CGFontRelease
0x00885dd0   364 _CGFontRetain
0x00885de0   365 _CGGradientCreateWithColorComponents
0x00885df0   366 _CGGradientCreateWithColors
0x00885e00   367 _CGGradientRelease
0x00885e10   368 _CGImageCreate
0x00885e20   369 _CGImageCreateWithMask
0x00885e30   370 _CGImageGetAlphaInfo
0x00885e40   371 _CGImageGetBitmapInfo
0x00885e50   372 _CGImageGetBitsPerComponent
0x00885e60   373 _CGImageGetBytesPerRow
0x00885e70   374 _CGImageGetColorSpace
0x00885e80   375 _CGImageGetHeight
0x00885e90   376 _CGImageGetWidth
0x00885ea0   377 _CGImageRelease
0x00885eb0   378 _CGPathAddArc
0x00885ec0   379 _CGPathAddArcToPoint
0x00885ed0   380 _CGPathAddCurveToPoint
0x00885ee0   381 _CGPathAddEllipseInRect
0x00885ef0   382 _CGPathAddLineToPoint
0x00885f00   383 _CGPathAddPath
0x00885f10   384 _CGPathAddQuadCurveToPoint
0x00885f20   385 _CGPathAddRect
0x00885f30   386 _CGPathCloseSubpath
0x00885f40   387 _CGPathCreateMutable
0x00885f50   388 _CGPathMoveToPoint
0x00885f60   389 _CGPathRelease
0x00885f70   392 _CGRectApplyAffineTransform
0x00885f80   393 _CGRectContainsPoint
